CF_Scaffold_ID,CF_Scaffold_SMILES,NATx_SMILES,NATx_ID,Substructure_SMILES,Chemotype
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,COc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccccc3)no2)c2ccccc12,NAT18-348456,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,CC(=O)N1CCC(N2C[C@H](O)C[C@H]2c2nc(-c3ccccc3)no2)CC1,NAT18-348457,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,COc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccccc3)no2)cc1,NAT18-348458,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccccc3)no2)N(Cc2ccccc2)C1,NAT18-348459,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccccc3)no2)N(Cc2ccc(Cl)cc2)C1,NAT18-348465,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,N#Cc1cccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccccc3)no2)c1,NAT18-348466,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccccc3)no2)N(CC2CCCCC2)C1,NAT18-348467,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccccc3)no2)N(C2CCCCC2)C1,NAT18-348468,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,CN(C)c1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccccc3)no2)cc1,NAT18-348470,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccccc3)no2)N(Cc2ccc(F)cc2)C1,NAT18-348472,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
