CF_ID,CF_SMILES,NATx_SMILES,NATx_ID,Substructure_SMILES,Chemotype
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,COc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(F)cc3)no2)c2ccccc12,NAT18-349744,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,CC(=O)N1CCC(N2C[C@H](O)C[C@H]2c2nc(-c3ccc(F)cc3)no2)CC1,NAT18-349745,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,COc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(F)cc3)no2)cc1,NAT18-349746,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O[C@@H]1C[C@@H](c2nc(-c3ccc(F)cc3)no2)N(Cc2ccccc2)C1,NAT18-349747,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O[C@@H]1C[C@@H](c2nc(-c3ccc(F)cc3)no2)N(Cc2ccc(OC(F)(F)F)cc2)C1,NAT18-349749,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O[C@@H]1C[C@@H](c2nc(-c3ccc(F)cc3)no2)N(Cc2ccc(Cl)cc2)C1,NAT18-349753,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,N#Cc1cccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(F)cc3)no2)c1,NAT18-349754,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O[C@@H]1C[C@@H](c2nc(-c3ccc(F)cc3)no2)N(CC2CCCCC2)C1,NAT18-349755,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O[C@@H]1C[C@@H](c2nc(-c3ccc(F)cc3)no2)N(C2CCCCC2)C1,NAT18-349756,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,CN(C)c1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(F)cc3)no2)cc1,NAT18-349758,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O[C@@H]1C[C@@H](c2nc(-c3ccc(F)cc3)no2)N(Cc2ccc(F)cc2)C1,NAT18-349760,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,OCc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(F)cc3)no2)o1,NAT18-349763,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O[C@@H]1C[C@@H](c2nc(-c3ccc(F)cc3)no2)N(Cc2c[nH]c3ccccc23)C1,NAT18-349765,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,CN1CCC(N2C[C@H](O)C[C@H]2c2nc(-c3ccc(F)cc3)no2)CC1,NAT18-349771,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O[C@@H]1C[C@@H](c2nc(-c3ccc(F)cc3)no2)N(Cc2ccc3c(c2)OCO3)C1,NAT18-349774,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O[C@@H]1C[C@@H](c2nc(-c3ccc(F)cc3)no2)N(Cc2cccnc2)C1,NAT18-349777,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O[C@@H]1C[C@@H](c2nc(-c3ccc(F)cc3)no2)N(Cc2ccncc2)C1,NAT18-349778,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,Oc1ccccc1CN1C[C@H](O)C[C@H]1c1nc(-c2ccc(F)cc2)no1,NAT18-349779,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O[C@@H]1C[C@@H](c2nc(-c3ccc(F)cc3)no2)N(C2CCOCC2)C1,NAT18-349780,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O[C@@H]1C[C@@H](c2nc(-c3ccc(F)cc3)no2)N(Cc2cccs2)C1,NAT18-349781,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,Cc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(F)cc3)no2)cc1,NAT18-349783,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,COc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(F)cc3)no2)c(OC)c1OC,NAT18-349785,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,CC(C)N1C[C@H](O)C[C@H]1c1nc(-c2ccc(F)cc2)no1,NAT18-349787,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,CC(=O)Nc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(F)cc3)no2)cc1,NAT18-349788,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O=[N+]([O-])c1ccccc1CN1C[C@H](O)C[C@H]1c1nc(-c2ccc(F)cc2)no1,NAT18-349789,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O[C@@H]1C[C@@H](c2nc(-c3ccc(F)cc3)no2)N(Cc2cc3ccccc3o2)C1,NAT18-349791,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
F001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O[C@@H]1C[C@@H](c2nc(-c3ccc(F)cc3)no2)N(Cc2ncc[nH]2)C1,NAT18-349793,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,97
