CF_FRG,CF_SMILES,Analyticon_SMILES,Analyticon_ID,Substructure_SMILES,Analyticon_2D_Mol,CF_2D_Mol,Substructure_2D_Mol,Exit_Atom_Numbers,Substructure_Exit_Atoms,ChEMBL_Molecule_ID,ChEMBL_Activity_ID,ChEMBL_Assay_ID,ChEMBL_Assay_Type,pChEMBL_Value,ChEMBL_Relation,ChEMBL_Standard_Unit,ChEMBL_Standard_Value,ChEMBL_Target_ID,ChEMBL_Value_Type,units,value,ChEMBL_Assay_Confidence_Description,ChEMBL_Assay_Confidence_Score,ChEMBL_Assay_Description,ChEMBL_Target_Organism,ChEMBL_Target_Name,ChEMBL_Target_Type
FRG001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O[C@@H]1C[C@@H](c2nc(-c3ccc(F)cc3)no2)N(C2CCOCC2)C1,NAT18-349780,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f501a1ba250>,<rdkit.Chem.rdchem.Mol object at 0x7f501abc71a0>,<rdkit.Chem.rdchem.Mol object at 0x7f501a08cb80>,[3],<rdkit.Chem.rdchem.Mol object at 0x7f501b56aac0>,CHEMBL3437454,17814630.0,CHEMBL3988443,F,,=,%,9.153,CHEMBL4105741,Inhibition,%,9.152542373,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,Cc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(F)cc3)no2)cc1,NAT18-349783,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f501a1b9cb0>,<rdkit.Chem.rdchem.Mol object at 0x7f501a6f5ad0>,<rdkit.Chem.rdchem.Mol object at 0x7f501bc740e0>,[3],<rdkit.Chem.rdchem.Mol object at 0x7f501b56a7a0>,CHEMBL3437550,17846945.0,CHEMBL3988443,F,,=,%,7.492,CHEMBL4105741,Inhibition,%,7.491856678,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG009,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,CC(C)N1C[C@H](O)C[C@H]1c1nc(-c2ccc(OC(F)(F)F)cc2)no1,NAT18-348779,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f501a1ebba0>,<rdkit.Chem.rdchem.Mol object at 0x7f501a731f30>,<rdkit.Chem.rdchem.Mol object at 0x7f5019ebd7b0>,"[0, 15]",<rdkit.Chem.rdchem.Mol object at 0x7f501b523a60>,CHEMBL3436907,17858310.0,CHEMBL3988443,F,,=,%,4.945,CHEMBL4105741,Inhibition,%,4.945054945,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG009,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3C3CCCCC3)n2)cc1,NAT18-349420,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f501a1e9170>,<rdkit.Chem.rdchem.Mol object at 0x7f501a7330b0>,<rdkit.Chem.rdchem.Mol object at 0x7f5019ebf790>,[15],<rdkit.Chem.rdchem.Mol object at 0x7f501b522480>,CHEMBL3437576,17840499.0,CHEMBL3988443,F,,=,%,7.119,CHEMBL4105741,Inhibition,%,7.118644068,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG009,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,CN1C[C@H](O)C[C@H]1c1nc(-c2ccc3c(c2)OCO3)no1,NAT18-381860,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f501a1ead40>,<rdkit.Chem.rdchem.Mol object at 0x7f501a7757b0>,<rdkit.Chem.rdchem.Mol object at 0x7f5019ebf740>,"[0, 15, 18]",<rdkit.Chem.rdchem.Mol object at 0x7f501b521120>,CHEMBL3437452,17873508.0,CHEMBL3988443,F,,=,%,10.53,CHEMBL4105741,Inhibition,%,10.52631579,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG009,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,CN1C[C@H](O)C[C@H]1c1nc(-c2ccc(OC(F)(F)F)cc2)no1,NAT18-381915,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f501a216ca0>,<rdkit.Chem.rdchem.Mol object at 0x7f501a7771f0>,<rdkit.Chem.rdchem.Mol object at 0x7f5019ee5e90>,"[0, 15]",<rdkit.Chem.rdchem.Mol object at 0x7f501b5202c0>,CHEMBL3437517,17850602.0,CHEMBL3988443,F,,=,%,9.89,CHEMBL4105741,Inhibition,%,9.89010989,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG070,COc1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,COc1ccc(-c2nnc([C@H]3CCN(CC(C)(C)C)C3)o2)cc1,NAT31-459655,COc1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f501a0cfba0>,<rdkit.Chem.rdchem.Mol object at 0x7f501a640310>,<rdkit.Chem.rdchem.Mol object at 0x7f5019f0d030>,[13],<rdkit.Chem.rdchem.Mol object at 0x7f501b3302c0>,CHEMBL3436819,17823634.0,CHEMBL3988443,F,,=,%,8.475,CHEMBL4105741,Inhibition,%,8.474576271,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG070,COc1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,COc1ccc(-c2nnc([C@H]3CCN(CC4CC4)C3)o2)cc1,NAT31-459673,COc1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f501a0cd440>,<rdkit.Chem.rdchem.Mol object at 0x7f501a641710>,<rdkit.Chem.rdchem.Mol object at 0x7f5019f0ee30>,[13],<rdkit.Chem.rdchem.Mol object at 0x7f501b3307c0>,CHEMBL3436777,17849494.0,CHEMBL3988443,F,,=,%,1.695,CHEMBL4105741,Inhibition,%,1.694915254,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG073,Clc1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,Clc1ccc(-c2nnc([C@H]3CCN(C4CCCCC4)C3)o2)cc1,NAT31-458869,Clc1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f501a23f6f0>,<rdkit.Chem.rdchem.Mol object at 0x7f501a6850d0>,<rdkit.Chem.rdchem.Mol object at 0x7f5019f3c4f0>,[12],<rdkit.Chem.rdchem.Mol object at 0x7f501b331760>,CHEMBL3436914,17841577.0,CHEMBL3988443,F,,=,%,-2.373,CHEMBL4105741,Inhibition,%,-2.372881356,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG074,c1cc(-c2nnc([C@H]3CCNC3)o2)ccn1,c1cc(-c2nnc([C@H]3CCN(C4CCCCC4)C3)o2)ccn1,NAT31-459164,c1cc(-c2nnc([C@H]3CCNC3)o2)ccn1,<rdkit.Chem.rdchem.Mol object at 0x7f501a23ef20>,<rdkit.Chem.rdchem.Mol object at 0x7f501a4c9710>,<rdkit.Chem.rdchem.Mol object at 0x7f5019f71170>,[10],<rdkit.Chem.rdchem.Mol object at 0x7f501b332700>,CHEMBL3436820,17849301.0,CHEMBL3988443,F,,=,%,2.373,CHEMBL4105741,Inhibition,%,2.372881356,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG074,c1cc(-c2nnc([C@H]3CCNC3)o2)ccn1,c1cc(-c2nnc([C@H]3CCN(C4CCOCC4)C3)o2)ccn1,NAT31-459188,c1cc(-c2nnc([C@H]3CCNC3)o2)ccn1,<rdkit.Chem.rdchem.Mol object at 0x7f501a0a76f0>,<rdkit.Chem.rdchem.Mol object at 0x7f501a4cbc90>,<rdkit.Chem.rdchem.Mol object at 0x7f5019f726b0>,[10],<rdkit.Chem.rdchem.Mol object at 0x7f501b333060>,CHEMBL3436822,17849426.0,CHEMBL3988443,F,,=,%,-0.339,CHEMBL4105741,Inhibition,%,-0.338983051,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG134,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,CS(=O)(=O)N1CC[C@H](c2nc3ccc(C(F)(F)F)cc3[nH]2)C1,NAT31-455111,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f501a0f8d60>,<rdkit.Chem.rdchem.Mol object at 0x7f501a54e4d0>,<rdkit.Chem.rdchem.Mol object at 0x7f5019dcbe70>,"[1, 9]",<rdkit.Chem.rdchem.Mol object at 0x7f501b374e00>,CHEMBL3437556,17840780.0,CHEMBL3988443,F,,=,%,-1.648,CHEMBL4105741,Inhibition,%,-1.648351648,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG134,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,Cc1ccc2[nH]c([C@H]3CCN(CC4CCCCC4)C3)nc2c1,NAT31-457143,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f501a0f9a80>,<rdkit.Chem.rdchem.Mol object at 0x7f501a398090>,<rdkit.Chem.rdchem.Mol object at 0x7f5019dc89a0>,"[0, 9]",<rdkit.Chem.rdchem.Mol object at 0x7f501b375a80>,CHEMBL3436799,17840375.0,CHEMBL3988443,F,,=,%,4.945,CHEMBL4105741,Inhibition,%,4.945054945,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG134,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,Fc1ccc2[nH]c([C@H]3CCN(C4CCOCC4)C3)nc2c1,NAT31-457227,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f501a129260>,<rdkit.Chem.rdchem.Mol object at 0x7f501a39a570>,<rdkit.Chem.rdchem.Mol object at 0x7f5019df7d80>,"[0, 9]",<rdkit.Chem.rdchem.Mol object at 0x7f501b376d40>,CHEMBL3436869,17859035.0,CHEMBL3988443,F,,=,%,3.297,CHEMBL4105741,Inhibition,%,3.296703297,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
