CF_FRG,CF_SMILES,Analyticon_SMILES,Analyticon_ID,Substructure_SMILES,Analyticon_2D_Mol,CF_2D_Mol,Substructure_2D_Mol,Exit_Atom_Numbers,Substructure_Exit_Atoms,PubChem_CID,PubChem_Target_GI,PubChem_Target_Activity_Outcome,PubChem_Target_Potency_in_uM,PubChem_Target_Name,PubChem_Target_EC_Number
FRG001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,COc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(F)cc3)no2)c2ccccc12,NAT18-349744,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f501b2b02c0>,<rdkit.Chem.rdchem.Mol object at 0x7f501b2b1080>,<rdkit.Chem.rdchem.Mol object at 0x7f501a1e8b80>,[3],<rdkit.Chem.rdchem.Mol object at 0x7f501a9e3ab0>,26744365,,,,,
FRG001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,CC(=O)N1CCC(N2C[C@H](O)C[C@H]2c2nc(-c3ccc(F)cc3)no2)CC1,NAT18-349745,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f501a384630>,<rdkit.Chem.rdchem.Mol object at 0x7f501b9f6070>,<rdkit.Chem.rdchem.Mol object at 0x7f501a215f30>,[3],<rdkit.Chem.rdchem.Mol object at 0x7f501abc4040>,26744367,,,,,
FRG001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,COc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(F)cc3)no2)cc1,NAT18-349746,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f501a387a60>,<rdkit.Chem.rdchem.Mol object at 0x7f501b2b1a80>,<rdkit.Chem.rdchem.Mol object at 0x7f501a155d50>,[3],<rdkit.Chem.rdchem.Mol object at 0x7f501b56b9c0>,26744369,,,,,
FRG001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O[C@@H]1C[C@@H](c2nc(-c3ccc(F)cc3)no2)N(Cc2ccccc2)C1,NAT18-349747,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f501a45fd30>,<rdkit.Chem.rdchem.Mol object at 0x7f501b2b07c0>,<rdkit.Chem.rdchem.Mol object at 0x7f501a08dc60>,[3],<rdkit.Chem.rdchem.Mol object at 0x7f501b2b3ba0>,26744371,,,,,
FRG001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O[C@@H]1C[C@@H](c2nc(-c3ccc(F)cc3)no2)N(Cc2ccc(OC(F)(F)F)cc2)C1,NAT18-349749,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f501a777f10>,<rdkit.Chem.rdchem.Mol object at 0x7f501b2b04a0>,<rdkit.Chem.rdchem.Mol object at 0x7f501a0cd8a0>,[3],<rdkit.Chem.rdchem.Mol object at 0x7f501b56b920>,26744373,534286618,Active,NaN,"Chain B, Interleukin-1 receptor-like 1",
FRG001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O[C@@H]1C[C@@H](c2nc(-c3ccc(F)cc3)no2)N(Cc2ccc(Cl)cc2)C1,NAT18-349753,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f501a5bfb50>,<rdkit.Chem.rdchem.Mol object at 0x7f501b2b0400>,<rdkit.Chem.rdchem.Mol object at 0x7f501a08d7b0>,[3],<rdkit.Chem.rdchem.Mol object at 0x7f501b56b880>,26744375,,,,,
FRG001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,N#Cc1cccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(F)cc3)no2)c1,NAT18-349754,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f501a733c90>,<rdkit.Chem.rdchem.Mol object at 0x7f501b2b0220>,<rdkit.Chem.rdchem.Mol object at 0x7f501a08d3f0>,[3],<rdkit.Chem.rdchem.Mol object at 0x7f501b56b740>,,,,,,
FRG001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O[C@@H]1C[C@@H](c2nc(-c3ccc(F)cc3)no2)N(CC2CCCCC2)C1,NAT18-349755,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f501a777dd0>,<rdkit.Chem.rdchem.Mol object at 0x7f501b2b0680>,<rdkit.Chem.rdchem.Mol object at 0x7f501a00d170>,[3],<rdkit.Chem.rdchem.Mol object at 0x7f501b56b4c0>,26744379,,,,,
FRG001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O[C@@H]1C[C@@H](c2nc(-c3ccc(F)cc3)no2)N(C2CCCCC2)C1,NAT18-349756,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f501a1bbd80>,<rdkit.Chem.rdchem.Mol object at 0x7f501b2b0ae0>,<rdkit.Chem.rdchem.Mol object at 0x7f501a08cef0>,[3],<rdkit.Chem.rdchem.Mol object at 0x7f501bd33420>,26744381,,,,,
FRG001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,CN(C)c1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(F)cc3)no2)cc1,NAT18-349758,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f501b523600>,<rdkit.Chem.rdchem.Mol object at 0x7f501b568540>,<rdkit.Chem.rdchem.Mol object at 0x7f501a45cd10>,[3],<rdkit.Chem.rdchem.Mol object at 0x7f501b56b600>,26744383,,,,,
