Dataset 	 Pocket 	 Ligand_Instance
CF 	 A 	 001_B_1
CF 	 A 	 005_D_3
CF 	 A 	 009_B_2
CF 	 A 	 012_B_1
CF 	 A 	 024_B_1
CF 	 A 	 032_B_1
CF 	 A 	 055_B_1
CF 	 A 	 070_A_1605
CF 	 A 	 073_B_6
CF 	 A 	 074_B_7
CF 	 A 	 102_B_1
CF 	 A 	 134_B_6
CF 	 A 	 138_B_1
CF 	 A 	 145_B_5
CF 	 A 	 168_B_3
CF 	 A 	 184_A_401
CF 	 A 	 203_B_1
CF 	 A 	 225_L_401
CF 	 A 	 248_B_1
CF 	 A 	 264_B_4
CF 	 A 	 274_A_401
CF 	 A 	 296_B_1
CF 	 A 	 299_B_7
CF 	 A 	 304_B_6
CF 	 A 	 310_B_1
CF 	 A 	 312_A_401
CF 	 A 	 186_A_402
CF 	 E 	 189_A_401
CF 	 F 	 134_B_7
CF 	 F 	 264_B_3
CF 	 G 	 030_B_2
CF 	 G 	 138_B_2
CF 	 G 	 283_B_2
CF 	 X 	 001_B_2
CF 	 X 	 001_B_3
CF 	 X 	 005_D_4
CF 	 X 	 009_B_1
CF 	 X 	 030_B_3
CF 	 X 	 032_B_2
CF 	 X 	 055_B_2
CF 	 X 	 058_A_603
CF 	 X 	 070_A_1602
CF 	 X 	 073_B_7
CF 	 X 	 073_B_8
CF 	 X 	 074_B_8
CF 	 X 	 134_B_8
CF 	 X 	 134_B_9
CF 	 X 	 145_B_6
CF 	 X 	 168_B_4
CF 	 X 	 188_A_401
CF 	 X 	 188_A_501
CF 	 X 	 189_A_501
CF 	 X 	 225_L_501
CF 	 X 	 236_L_401
CF 	 X 	 248_B_2
CF 	 X 	 264_B_5
CF 	 X 	 274_A_501
CF 	 X 	 274_A_601
CF 	 X 	 274_A_701
CF 	 X 	 283_B_1
CF 	 X 	 294_L_401
CF 	 X 	 299_B_5
CF 	 X 	 299_B_6
CF 	 X 	 299_B_8
CF 	 X 	 299_B_9
CF 	 X 	 304_B_2
CF 	 X 	 304_B_5
CF 	 X 	 313_A_401
CF 	 X 	 322_A_501
PDB 	 A 	 1CDK_ANP_A_400
PDB 	 A 	 1CDK_ANP_B_400
PDB 	 A 	 2GNF_Y27_A_501
PDB 	 A 	 2GNH_H52_A_501
PDB 	 A 	 2GNI_M77_A_601
PDB 	 A 	 2GNJ_Y27_A_501
PDB 	 A 	 2GNL_H52_A_501
PDB 	 A 	 2JDS_L20_A_1351
PDB 	 A 	 2JDT_I5S_A_1351
PDB 	 A 	 2JDV_L20_A_1351
PDB 	 A 	 2OH0_2PY_E_351
PDB 	 A 	 2OJF_4PY_E_1000
PDB 	 A 	 2QUR_ADP_B_1
PDB 	 A 	 2UW3_GVG_A_1351
PDB 	 A 	 2UW4_L15_A_1351
PDB 	 A 	 2UW5_GVN_A_1351
PDB 	 A 	 2UW8_GVQ_A_1351
PDB 	 A 	 2UZT_SS3_A_1351
PDB 	 A 	 2UZU_L20_E_1351
PDB 	 A 	 2UZV_SS5_A_1351
PDB 	 A 	 2UZW_SS4_E_1351
PDB 	 A 	 2VNW_M01_A_1351
PDB 	 A 	 2VNY_M02_A_1351
PDB 	 A 	 2VO0_M03_A_1354
PDB 	 A 	 2VO3_M04_A_1352
PDB 	 A 	 2VO6_M05_A_1352
PDB 	 A 	 2VO7_M05_A_1352
PDB 	 A 	 3AG9_A02_B_351
PDB 	 A 	 3AGL_A03_A_351
PDB 	 A 	 3AGL_A03_B_351
PDB 	 A 	 3AMA_SKE_A_351
PDB 	 A 	 3AMB_VX6_A_351
PDB 	 A 	 3BWJ_ARX_A_351
PDB 	 A 	 3DND_LL2_A_351
PDB 	 A 	 3DNE_LL1_A_351
PDB 	 A 	 3E8C_G96_A_351
PDB 	 A 	 3E8C_G96_B_351
PDB 	 A 	 3E8C_G96_C_351
PDB 	 A 	 3E8C_G96_D_351
PDB 	 A 	 3E8C_G96_E_351
PDB 	 A 	 3E8C_G96_F_351
PDB 	 A 	 3E8E_G98_A_351
PDB 	 A 	 3E8E_G98_B_351
PDB 	 A 	 3E8E_G98_E_351
PDB 	 A 	 3E8E_G98_I_351
PDB 	 A 	 3E8E_G98_L_351
PDB 	 A 	 3FJQ_ATP_E_403
PDB 	 A 	 3KKV_B99_A_351
PDB 	 A 	 3L9L_L9L_A_351
PDB 	 A 	 3L9L_L9L_B_351
PDB 	 A 	 3L9M_L9M_A_351
PDB 	 A 	 3L9M_L9M_B_351
PDB 	 A 	 3L9N_L9N_A_351
PDB 	 A 	 3MVJ_XFE_A_351
PDB 	 A 	 3MVJ_XFE_E_351
PDB 	 A 	 3NX8_IPH_A_351
PDB 	 A 	 3OOG_YTP_A_2001
PDB 	 A 	 3OVV_1SB_A_2001
PDB 	 A 	 3OW3_SMY_A_401
PDB 	 A 	 3OWP_2SB_A_2001
PDB 	 A 	 3OXT_3SB_A_2001
PDB 	 A 	 3P0M_4SB_A_351
PDB 	 A 	 3POO_S69_A_2001
PDB 	 A 	 3QAL_ATP_E_351
PDB 	 A 	 3QAM_ATP_E_351
PDB 	 A 	 3VQH_IQB_A_401
PDB 	 A 	 3X2U_ATP_A_501
PDB 	 A 	 3X2V_ATP_A_403
PDB 	 A 	 3X2W_ATP_A_403
PDB 	 A 	 3ZO1_SIJ_A_1351
PDB 	 A 	 3ZO2_15I_A_1351
PDB 	 A 	 3ZO3_QNI_A_1351
PDB 	 A 	 3ZO4_QWI_A_1352
PDB 	 A 	 4AXA_RKD_A_1351
PDB 	 A 	 4C34_STU_A_1351
PDB 	 A 	 4C35_NU3_A_1351
PDB 	 A 	 4C36_ZO9_A_1351
PDB 	 A 	 4C37_Z21_A_1351
PDB 	 A 	 4C38_VUP_A_1351
PDB 	 A 	 4DFX_ANP_E_402
PDB 	 A 	 4DG0_ANP_E_402
PDB 	 A 	 4DG3_ANP_E_401
PDB 	 A 	 4DH1_ATP_A_402
PDB 	 A 	 4DH3_ATP_A_403
PDB 	 A 	 4DH5_ADP_A_403
PDB 	 A 	 4DH7_ANP_A_403
PDB 	 A 	 4DH8_ANP_A_403
PDB 	 A 	 4HPT_ANP_E_401
PDB 	 A 	 4HPU_ANP_E_402
PDB 	 A 	 4HPU_ANP_I_600
PDB 	 A 	 4IAC_ACP_A_403
PDB 	 A 	 4IAD_ADP_A_403
PDB 	 A 	 4IAF_ADP_A_403
PDB 	 A 	 4IAI_ADP_A_403
PDB 	 A 	 4IAK_ADP_A_403
PDB 	 A 	 4IAY_ADP_A_403
PDB 	 A 	 4IAZ_ADP_A_403
PDB 	 A 	 4IB0_ADP_A_403
PDB 	 A 	 4IB1_ADP_A_403
PDB 	 A 	 4IB3_ADP_A_401
PDB 	 A 	 4IE9_PZX_A_401
PDB 	 A 	 4IJ9_PTV_A_401
PDB 	 A 	 4NTT_ADP_A_401
PDB 	 A 	 4NTT_ADP_B_401
PDB 	 A 	 4O21_ADP_A_401
PDB 	 A 	 4UJ1_NVX_A_1351
PDB 	 A 	 4UJ2_NVV_A_1351
PDB 	 A 	 4UJ9_S3N_A_1351
PDB 	 A 	 4UJA_4L7_A_1351
PDB 	 A 	 4UJB_8BQ_A_1351
PDB 	 A 	 4WB5_ATP_A_401
PDB 	 A 	 4WB6_ATP_A_401
PDB 	 A 	 4WB6_ATP_B_401
PDB 	 A 	 4WB8_ATP_A_401
PDB 	 A 	 4XW4_ANP_A_403
PDB 	 A 	 4XW5_ATP_A_403
PDB 	 A 	 4XW6_ADP_A_403
PDB 	 A 	 4YXR_0RW_A_401
PDB 	 A 	 4YXS_EMU_A_401
PDB 	 A 	 4Z83_4L7_E_401
PDB 	 A 	 4Z84_NVX_A_401
PDB 	 A 	 5BX6_495_A_401
PDB 	 A 	 5BX7_4W1_A_401
PDB 	 A 	 5IZJ_6J9_F_1
PDB 	 A 	 5IZJ_6J9_G_1
PDB 	 A 	 5J5X_6J9_B_1
PDB 	 A 	 5LCP_M77_A_401
PDB 	 A 	 5LCQ_6TV_A_401
