,CF_FRG,CF_SMILES,COCONUT_SMILES,COCONUT_ID,Substructure_SMILES,Murcko_SMILES,Exit_Atom_Numbers,Num_Exit_Atoms,Substructure_Exit_Atoms,CF_2D_Mol,COCONUT_2D_Mol,Substructure_2D_Mol
0,F005,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,O[C@H]1CN[C@H](C2=NC(C3=CN=CC=N3)=NO2)C1,CNP0010471.1,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,c1cnc(-c2noc([C@@H]3CCCN3)n2)cn1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729d93d3060>,<rdkit.Chem.rdchem.Mol object at 0x7729d9334190>,<rdkit.Chem.rdchem.Mol object at 0x7729d9362570>,<rdkit.Chem.rdchem.Mol object at 0x7729d9390900>
1,F009,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,COC1=CC=C(C2=NOC([C@@H]3C[C@@H](O)CN3)=N2)C=C1,CNP0010487.1,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729e1da6cf0>,<rdkit.Chem.rdchem.Mol object at 0x7729d9335690>,<rdkit.Chem.rdchem.Mol object at 0x7729d9363a70>,<rdkit.Chem.rdchem.Mol object at 0x7729d9391e00>
2,F012,c1cc(-c2noc([C@@H]3Cc4nc[nH]c4CN3)n2)ccn1,C1=CC(C2=NOC([C@@H]3CC4=C(CN3)NC=N4)=N2)=CC=N1,CNP0124972.1,c1cc(-c2noc([C@@H]3Cc4nc[nH]c4CN3)n2)ccn1,c1cc(-c2noc([C@@H]3Cc4nc[nH]c4CN3)n2)ccn1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729e1da7a60>,<rdkit.Chem.rdchem.Mol object at 0x7729d93367a0>,<rdkit.Chem.rdchem.Mol object at 0x7729d9364c10>,<rdkit.Chem.rdchem.Mol object at 0x7729d9392f10>
3,F024,Cc1n[nH]c(C)c1[C@H]1C=C[C@@H](O)C1,CC1=NNC(C)=C1[C@H]1C=C[C@@H](O)C1,CNP0311473.1,Cc1n[nH]c(C)c1[C@H]1C=C[C@@H](O)C1,C1=C[C@H](c2cn[nH]c2)CC1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729e1d92110>,<rdkit.Chem.rdchem.Mol object at 0x7729d93380b0>,<rdkit.Chem.rdchem.Mol object at 0x7729d9366490>,<rdkit.Chem.rdchem.Mol object at 0x7729d9394820>
4,F030,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)NC1=CC=CC=C1,CNP0409444.1,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,O=C(Nc1ccccc1)O[C@@H]1CO[C@@H]2CCO[C@@H]21,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729d09f94e0>,<rdkit.Chem.rdchem.Mol object at 0x7729d9344f20>,<rdkit.Chem.rdchem.Mol object at 0x7729d9373300>,<rdkit.Chem.rdchem.Mol object at 0x7729d93a5690>
5,F055,CC(=O)N1CCN([C@H]2[C@@H]3OC[C@@H](O3)[C@@H](N)[C@@H]2O)CC1,CC(=O)N1CCN([C@H]2[C@@H]3OCC(O3)[C@@H](N)[C@@H]2O)CC1,CNP0009946.1,CC(=O)N1CCN([C@H]2[C@@H]3OC[C@@H](O3)[C@@H](N)[C@@H]2O)CC1,C1CN([C@@H]2CC[C@H]3CO[C@@H]2O3)CCN1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729d09fb380>,<rdkit.Chem.rdchem.Mol object at 0x7729d9347ae0>,<rdkit.Chem.rdchem.Mol object at 0x7729d9375f50>,<rdkit.Chem.rdchem.Mol object at 0x7729d93a82e0>
6,F058,N[C@H]1[C@H](O)[C@@H](N2CCOCC2)[C@@H]2OC[C@H]1O2,N[C@@H]1C2CO[C@H](O2)[C@H](N2CCOCC2)[C@H]1O,CNP0009942.1,N[C@H]1[C@H](O)[C@@H](N2CCOCC2)[C@@H]2OC[C@H]1O2,C1CN([C@@H]2CC[C@H]3CO[C@@H]2O3)CCO1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729d09fbdd0>,<rdkit.Chem.rdchem.Mol object at 0x7729d93489e0>,<rdkit.Chem.rdchem.Mol object at 0x7729d9376dc0>,<rdkit.Chem.rdchem.Mol object at 0x7729d93a9150>
7,F070,COc1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,COC1=CC=C(C2=NN=C([C@H]3CCNC3)O2)C=C1,CNP0314960.1,COc1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,c1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f043b0>,<rdkit.Chem.rdchem.Mol object at 0x7729d93491c0>,<rdkit.Chem.rdchem.Mol object at 0x7729d93775a0>,<rdkit.Chem.rdchem.Mol object at 0x7729d93a9930>
8,F073,Clc1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,ClC1=CC=C(C2=NN=C([C@H]3CCNC3)O2)C=C1,CNP0009492.1,Clc1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,c1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f05300>,<rdkit.Chem.rdchem.Mol object at 0x7729d934a730>,<rdkit.Chem.rdchem.Mol object at 0x7729d9378ba0>,<rdkit.Chem.rdchem.Mol object at 0x7729d93aaea0>
9,F074,c1cc(-c2nnc([C@H]3CCNC3)o2)ccn1,C1=CC(C2=NN=C([C@H]3CCNC3)O2)=CC=N1,CNP0009491.1,c1cc(-c2nnc([C@H]3CCNC3)o2)ccn1,c1cc(-c2nnc([C@H]3CCNC3)o2)ccn1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f05ee0>,<rdkit.Chem.rdchem.Mol object at 0x7729d934b7d0>,<rdkit.Chem.rdchem.Mol object at 0x7729d9379c40>,<rdkit.Chem.rdchem.Mol object at 0x7729d93abf40>
10,F102,O=C(c1cncnc1)N1CC[C@H](c2nc3ccccc3o2)C1,O=C(C1=CN=CN=C1)N1CC[C@@H](C2=NC3=CC=CC=C3O2)C1,CNP0030338.1,O=C(c1cncnc1)N1CC[C@H](c2nc3ccccc3o2)C1,O=C(c1cncnc1)N1CC[C@H](c2nc3ccccc3o2)C1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f06020>,<rdkit.Chem.rdchem.Mol object at 0x7729d934b990>,<rdkit.Chem.rdchem.Mol object at 0x7729d9379e00>,<rdkit.Chem.rdchem.Mol object at 0x7729d93ac190>
