COCONUT_Canonical_SMILES,CF_FRG,COCONUT_ID,COCONUT_NP_mol,CF_Mol,Name,IUPAC_Name,Synonyms,CAS,References,Ressource,Ressource_Ref,PubChem_ID,PubChem_CID,PubChem_Target_GI,PubChem_Target_Activity,PubChem_Target_Name,PubChem_Target_EC_Number,ChEMBL_ID_Similarity100,NP_Likeness,Dataset
OC1CC(c2nc(-c3ccc(F)cc3)no2)N(CC2CC2)C1,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,CNP0013083,<rdkit.Chem.rdchem.Mol object at 0x784ff8895000>,<rdkit.Chem.rdchem.Mol object at 0x784ff868aff0>,"1-(cyclopropylmethyl)-5-[3-(4-fluorophenyl)-1,2,4-oxadiazol-5-yl]pyrrolidin-3-ol","1-(cyclopropylmethyl)-5-[3-(4-fluorophenyl)-1,2,4-oxadiazol-5-yl]pyrrolidin-3-ol",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00022670, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,74507250.0,,,,,,-1.4686703393093816,COCONUT
CC(=O)Nc1ccc(CN2CC(O)CC2c2nc(-c3ccc(F)cc3)no2)cc1,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,CNP0013084,<rdkit.Chem.rdchem.Mol object at 0x784ff8895070>,<rdkit.Chem.rdchem.Mol object at 0x784ff868b060>,"N-[4-({2-[3-(4-fluorophenyl)-1,2,4-oxadiazol-5-yl]-4-hydroxypyrrolidin-1-yl}methyl)phenyl]acetamide","N-[4-({2-[3-(4-fluorophenyl)-1,2,4-oxadiazol-5-yl]-4-hydroxypyrrolidin-1-yl}methyl)phenyl]acetamide",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00022666, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,74507245.0,,,,,,-1.6411740062128897,COCONUT
OC1CC(c2nc(-c3ccc(F)cc3)no2)N(CC2CCCCC2)C1,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,CNP0013085,<rdkit.Chem.rdchem.Mol object at 0x784ff88950e0>,<rdkit.Chem.rdchem.Mol object at 0x784ff868b0d0>,"1-(cyclohexylmethyl)-5-[3-(4-fluorophenyl)-1,2,4-oxadiazol-5-yl]pyrrolidin-3-ol","1-(cyclohexylmethyl)-5-[3-(4-fluorophenyl)-1,2,4-oxadiazol-5-yl]pyrrolidin-3-ol",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00022650, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,74507216.0,,,,,,-1.306764581777716,COCONUT
OC1CC(c2nc(-c3ccc(F)cc3)no2)N(Cc2ccccc2)C1,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,CNP0013086,<rdkit.Chem.rdchem.Mol object at 0x784ff8895150>,<rdkit.Chem.rdchem.Mol object at 0x784ff868b140>,"1-benzyl-5-[3-(4-fluorophenyl)-1,2,4-oxadiazol-5-yl]pyrrolidin-3-ol","1-benzyl-5-[3-(4-fluorophenyl)-1,2,4-oxadiazol-5-yl]pyrrolidin-3-ol",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00022646, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,74507208.0,,,,,,-1.4883555411447638,COCONUT
COc1ccc(CN2CC(O)CC2c2nc(-c3ccc(F)cc3)no2)c(OC)c1OC,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,CNP0013096,<rdkit.Chem.rdchem.Mol object at 0x784ff88951c0>,<rdkit.Chem.rdchem.Mol object at 0x784ff868b1b0>,"5-[3-(4-fluorophenyl)-1,2,4-oxadiazol-5-yl]-1-[(2,3,4-trimethoxyphenyl)methyl]pyrrolidin-3-ol","5-[3-(4-fluorophenyl)-1,2,4-oxadiazol-5-yl]-1-[(2,3,4-trimethoxyphenyl)methyl]pyrrolidin-3-ol",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00022664, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,74507241.0,,,,,,-1.0584464507116806,COCONUT
Oc1ccccc1CN1CC(O)CC1c1nc(-c2ccc(F)cc2)no1,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,CNP0013097,<rdkit.Chem.rdchem.Mol object at 0x784ff8895230>,<rdkit.Chem.rdchem.Mol object at 0x784ff868b220>,"5-[3-(4-fluorophenyl)-1,2,4-oxadiazol-5-yl]-1-[(2-hydroxyphenyl)methyl]pyrrolidin-3-ol","5-[3-(4-fluorophenyl)-1,2,4-oxadiazol-5-yl]-1-[(2-hydroxyphenyl)methyl]pyrrolidin-3-ol",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00022660, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,74507234.0,,,,,,-1.2292194065239421,COCONUT
CN1CCC(N2CC(O)CC2c2nc(-c3ccc(F)cc3)no2)CC1,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,CNP0013098,<rdkit.Chem.rdchem.Mol object at 0x784ff88952a0>,<rdkit.Chem.rdchem.Mol object at 0x784ff868b290>,"5-[3-(4-fluorophenyl)-1,2,4-oxadiazol-5-yl]-1-(1-methylpiperidin-4-yl)pyrrolidin-3-ol","5-[3-(4-fluorophenyl)-1,2,4-oxadiazol-5-yl]-1-(1-methylpiperidin-4-yl)pyrrolidin-3-ol",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00022656, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,74507226.0,,,,,,-1.2776862873038362,COCONUT
CN(C)c1ccc(CN2CC(O)CC2c2nc(-c3ccc(F)cc3)no2)cc1,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,CNP0013099,<rdkit.Chem.rdchem.Mol object at 0x784ff8895380>,<rdkit.Chem.rdchem.Mol object at 0x784ff868b300>,"1-{[4-(dimethylamino)phenyl]methyl}-5-[3-(4-fluorophenyl)-1,2,4-oxadiazol-5-yl]pyrrolidin-3-ol","1-{[4-(dimethylamino)phenyl]methyl}-5-[3-(4-fluorophenyl)-1,2,4-oxadiazol-5-yl]pyrrolidin-3-ol",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00022652, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,74507220.0,,,,,,-1.5795282656909606,COCONUT
OC1CC(c2nc(-c3ccc(F)cc3)no2)N(Cc2ncc[nH]2)C1,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,CNP0013125,<rdkit.Chem.rdchem.Mol object at 0x784ff8894b30>,<rdkit.Chem.rdchem.Mol object at 0x784ff868b370>,"5-[3-(4-fluorophenyl)-1,2,4-oxadiazol-5-yl]-1-[(1H-imidazol-2-yl)methyl]pyrrolidin-3-ol","5-[3-(4-fluorophenyl)-1,2,4-oxadiazol-5-yl]-1-[(1H-imidazol-2-yl)methyl]pyrrolidin-3-ol",[],,,zincnp,,,74507248.0,,,,,,-1.844244414223179,COCONUT
Cc1ccc(CN2CC(O)CC2c2nc(-c3ccc(F)cc3)no2)cc1,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,CNP0013153,<rdkit.Chem.rdchem.Mol object at 0x784ff8895460>,<rdkit.Chem.rdchem.Mol object at 0x784ff868b3e0>,"5-[3-(4-fluorophenyl)-1,2,4-oxadiazol-5-yl]-1-[(4-methylphenyl)methyl]pyrrolidin-3-ol","5-[3-(4-fluorophenyl)-1,2,4-oxadiazol-5-yl]-1-[(4-methylphenyl)methyl]pyrrolidin-3-ol",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00022663, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,74507239.0,,,,,CHEMBL3437550,-1.5268297502980346,COCONUT
