CF_FRG,CF_SMILES,COCONUT_SMILES,COCONUT_ID,Substructure_SMILES,Murcko_SMILES,CF_2D_Mol,COCONUT_2D_Mol,Substructure_2D_Mol,Exit_Atom_Numbers,Num_Exit_Atoms,Substructure_Exit_Atoms,PubChem_CID,PubChem_Target_GI,PubChem_Target_Activity_Outcome,PubChem_Target_Potency_in_uM,PubChem_Target_Name,PubChem_Target_EC_Number
F005,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,O[C@@H]1C[C@@H](C2=NC(C3=CN=CC=N3)=NO2)N(CC2=CC=CC=C2)C1,CNP0410447.1,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,c1cnc(-c2noc([C@@H]3CCCN3)n2)cn1,<rdkit.Chem.rdchem.Mol object at 0x7bc9228e04a0>,<rdkit.Chem.rdchem.Mol object at 0x7bc92293e880>,<rdkit.Chem.rdchem.Mol object at 0x7bc92296cc10>,[3],1,<rdkit.Chem.rdchem.Mol object at 0x7bc9228af240>,26743490,,,,,
F005,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,OCC1=CC=C(CN2C[C@H](O)C[C@H]2C2=NC(C3=CN=CC=N3)=NO2)O1,CNP0025661.1,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,c1cnc(-c2noc([C@@H]3CCCN3)n2)cn1,<rdkit.Chem.rdchem.Mol object at 0x7bc9228e0510>,<rdkit.Chem.rdchem.Mol object at 0x7bc92293e8f0>,<rdkit.Chem.rdchem.Mol object at 0x7bc92296cc80>,[3],1,<rdkit.Chem.rdchem.Mol object at 0x7bca5a557060>,26743502,,,,,
F005,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,CC1=CC=C(CN2C[C@H](O)C[C@H]2C2=NC(C3=CN=CC=N3)=NO2)C=C1,CNP0475692.1,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,c1cnc(-c2noc([C@@H]3CCCN3)n2)cn1,<rdkit.Chem.rdchem.Mol object at 0x7bc9228e0580>,<rdkit.Chem.rdchem.Mol object at 0x7bc92293e960>,<rdkit.Chem.rdchem.Mol object at 0x7bc92296ccf0>,[3],1,<rdkit.Chem.rdchem.Mol object at 0x7bca5a556930>,26743518,,,,,
F005,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,O[C@H]1CN[C@H](C2=NC(C3=CN=CC=N3)=NO2)C1,CNP0010471.1,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,c1cnc(-c2noc([C@@H]3CCCN3)n2)cn1,<rdkit.Chem.rdchem.Mol object at 0x7bc9228e05f0>,<rdkit.Chem.rdchem.Mol object at 0x7bc92293e9d0>,<rdkit.Chem.rdchem.Mol object at 0x7bc92296cd60>,[],0,<rdkit.Chem.rdchem.Mol object at 0x7bca5a556f70>,26743536,,,,,
F005,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,CC(C)N1C[C@H](O)C[C@H]1C1=NC(C2=CN=CC=N2)=NO1,CNP0474795.1,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,c1cnc(-c2noc([C@@H]3CCCN3)n2)cn1,<rdkit.Chem.rdchem.Mol object at 0x7bc9228e0660>,<rdkit.Chem.rdchem.Mol object at 0x7bc92293ea40>,<rdkit.Chem.rdchem.Mol object at 0x7bc92296cdd0>,[3],1,<rdkit.Chem.rdchem.Mol object at 0x7bc9228a54e0>,26743520,,,,,
F005,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,CC(=O)O[C@@H]1C[C@@H](C2=NC(C3=CN=CC=N3)=NO2)N(CC2=CC=C(C(=O)O)C=C2)C1,CNP0364173.1,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,c1cnc(-c2noc([C@@H]3CCCN3)n2)cn1,<rdkit.Chem.rdchem.Mol object at 0x7bc9228e06d0>,<rdkit.Chem.rdchem.Mol object at 0x7bc92293eab0>,<rdkit.Chem.rdchem.Mol object at 0x7bc92296ce40>,"[0, 3]",2,<rdkit.Chem.rdchem.Mol object at 0x7bc9228a4fe0>,86768975,,,,,
F005,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,COC1=CC=C(CN2C[C@H](O)C[C@H]2C2=NC(C3=CN=CC=N3)=NO2)C=C1,CNP0012843.1,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,c1cnc(-c2noc([C@@H]3CCCN3)n2)cn1,<rdkit.Chem.rdchem.Mol object at 0x7bc9228e0740>,<rdkit.Chem.rdchem.Mol object at 0x7bc92293eb20>,<rdkit.Chem.rdchem.Mol object at 0x7bc92296ceb0>,[3],1,<rdkit.Chem.rdchem.Mol object at 0x7bc92268c360>,26743488,,,,,
F005,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,CN1C=C(CN2C[C@H](O)C[C@H]2C2=NC(C3=CN=CC=N3)=NO2)C2=CC=CC=C21,CNP0437860.1,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,c1cnc(-c2noc([C@@H]3CCCN3)n2)cn1,<rdkit.Chem.rdchem.Mol object at 0x7bc9228e07b0>,<rdkit.Chem.rdchem.Mol object at 0x7bc92293eb90>,<rdkit.Chem.rdchem.Mol object at 0x7bc92296cf20>,[3],1,<rdkit.Chem.rdchem.Mol object at 0x7bc92268c310>,26743524,,,,,
F005,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,CS(=O)(=O)C1=CC=C(CN2C[C@H](O)C[C@H]2C2=NC(C3=CN=CC=N3)=NO2)C=C1,CNP0067466.1,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,c1cnc(-c2noc([C@@H]3CCCN3)n2)cn1,<rdkit.Chem.rdchem.Mol object at 0x7bc9228e0820>,<rdkit.Chem.rdchem.Mol object at 0x7bc92293ec00>,<rdkit.Chem.rdchem.Mol object at 0x7bc92296cf90>,[3],1,<rdkit.Chem.rdchem.Mol object at 0x7bc92268c220>,26743534,,,,,
F005,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,CN(C)C1=CC=C(CN2C[C@H](O)C[C@H]2C2=NC(C3=CN=CC=N3)=NO2)C=C1,CNP0012842.1,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,c1cnc(-c2noc([C@@H]3CCCN3)n2)cn1,<rdkit.Chem.rdchem.Mol object at 0x7bc9228e0890>,<rdkit.Chem.rdchem.Mol object at 0x7bc92293ec70>,<rdkit.Chem.rdchem.Mol object at 0x7bc92296d000>,[3],1,<rdkit.Chem.rdchem.Mol object at 0x7bc92268c400>,26743498,,,,,
