CF_FRG,CF_SMILES,COCONUT_SMILES,COCONUT_ID,Substructure_SMILES,Murcko_SMILES,Exit_Atom_Numbers,Num_Exit_Atoms,Substructure_Exit_Atoms
F005,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,O[C@@H]1C[C@@H](C2=NC(C3=CN=CC=N3)=NO2)N(CC2=CC=CC=C2)C1,CNP0410447.1,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,c1cnc(-c2noc([C@@H]3CCCN3)n2)cn1,[3],1,<rdkit.Chem.rdchem.Mol object at 0x7729d93d2d40>
F005,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,OCC1=CC=C(CN2C[C@H](O)C[C@H]2C2=NC(C3=CN=CC=N3)=NO2)O1,CNP0025661.1,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,c1cnc(-c2noc([C@@H]3CCCN3)n2)cn1,[3],1,<rdkit.Chem.rdchem.Mol object at 0x7729d93d37e0>
F005,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,CC1=CC=C(CN2C[C@H](O)C[C@H]2C2=NC(C3=CN=CC=N3)=NO2)C=C1,CNP0475692.1,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,c1cnc(-c2noc([C@@H]3CCCN3)n2)cn1,[3],1,<rdkit.Chem.rdchem.Mol object at 0x7729d93d32e0>
F005,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,O[C@H]1CN[C@H](C2=NC(C3=CN=CC=N3)=NO2)C1,CNP0010471.1,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,c1cnc(-c2noc([C@@H]3CCCN3)n2)cn1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729d93d3060>
F005,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,CC(C)N1C[C@H](O)C[C@H]1C1=NC(C2=CN=CC=N2)=NO1,CNP0474795.1,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,c1cnc(-c2noc([C@@H]3CCCN3)n2)cn1,[3],1,<rdkit.Chem.rdchem.Mol object at 0x7729d93d3510>
F005,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,CC(=O)O[C@@H]1C[C@@H](C2=NC(C3=CN=CC=N3)=NO2)N(CC2=CC=C(C(=O)O)C=C2)C1,CNP0364173.1,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,c1cnc(-c2noc([C@@H]3CCCN3)n2)cn1,"[0, 3]",2,<rdkit.Chem.rdchem.Mol object at 0x7729d93d3830>
F005,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,COC1=CC=C(CN2C[C@H](O)C[C@H]2C2=NC(C3=CN=CC=N3)=NO2)C=C1,CNP0012843.1,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,c1cnc(-c2noc([C@@H]3CCCN3)n2)cn1,[3],1,<rdkit.Chem.rdchem.Mol object at 0x7729d93d3dd0>
F005,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,CN1C=C(CN2C[C@H](O)C[C@H]2C2=NC(C3=CN=CC=N3)=NO2)C2=CC=CC=C21,CNP0437860.1,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,c1cnc(-c2noc([C@@H]3CCCN3)n2)cn1,[3],1,<rdkit.Chem.rdchem.Mol object at 0x7729d93d3a10>
F005,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,CS(=O)(=O)C1=CC=C(CN2C[C@H](O)C[C@H]2C2=NC(C3=CN=CC=N3)=NO2)C=C1,CNP0067466.1,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,c1cnc(-c2noc([C@@H]3CCCN3)n2)cn1,[3],1,<rdkit.Chem.rdchem.Mol object at 0x7729d93d3330>
F005,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,CN(C)C1=CC=C(CN2C[C@H](O)C[C@H]2C2=NC(C3=CN=CC=N3)=NO2)C=C1,CNP0012842.1,O[C@H]1CN[C@H](c2nc(-c3cnccn3)no2)C1,c1cnc(-c2noc([C@@H]3CCCN3)n2)cn1,[3],1,<rdkit.Chem.rdchem.Mol object at 0x7729d93d2890>
